Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD,Popularity_Tier,Revenue_Per_Episode,Character_encoded,Country_encoded
Shinchan,Canada,0.7406677446676758,0.47690014903129657,0.021496245740836584,High,0.044980621547010324,7,2
Paw Patrol,France,0.8058192518328079,0.28614008941877794,0.12144827961011377,High,0.42295828442467387,4,5
Spongebob Squarepants,Russia,0.3785343772083535,0.7600596125186289,1.0,Medium,1.313957518637244,8,12
Motu Patlu,Uk,0.8341104266407503,0.29806259314456035,0.14928368336868164,High,0.4991720355227481,2,21
Mr Bean,Egypt,0.7683135775923722,0.05365126676602086,0.22158052479759469,High,4.054444442180089,3,4
Mr Bean,Russia,0.7449889820916066,0.5961251862891207,0.48916845079329724,High,0.8192058583783265,3,12
Shinchan,China,0.42215996679968404,0.31594634873323396,0.2576166742457738,Medium,0.812808461985481,7,3
Shinchan,France,0.29350012864742614,0.029806259314456036,0.47733155216603307,Low,15.494628779614347,7,5
Motu Patlu,Australia,0.5393790301196257,0.4292101341281669,0.32813971745885306,Medium,0.7627428817404257,2,0
Motu Patlu,Saudi Arabia,0.4859904633166138,0.43517138599105815,0.07461655070079576,Medium,0.17107163169645764,2,13
Mickey Mouse,Australia,0.6716869596382832,0.4232488822652757,0.41702405229486883,High,0.9829703028754492,1,0
Doraemon,Canada,0.3304284890804987,0.35767511177347244,0.12086804123991585,Medium,0.3369847454491132,0,2
Pokemon,Uk,0.41110227604973804,0.06557377049180328,1.0,Medium,15.020930805220388,6,21
Mr Bean,China,0.24980644788210052,0.36363636363636365,0.4666174082648643,Low,1.279678756148967,3,3
Shinchan,Brazil,0.8646503940302155,0.15499254843517138,0.5363038680929825,High,3.438009529768429,7,1
Paw Patrol,Australia,0.5791802908162562,0.5961251862891207,0.03245772592338656,Medium,0.054356651952830085,4,0
Paw Patrol,Uae,0.40377555131827747,0.45901639344262296,0.3257553973571766,Medium,0.7081386707098027,4,20
Motu Patlu,Canada,0.6455007888376495,0.08345752608047691,0.3401084697842298,Medium,4.026976464597734,2,2
Tom And Jerry,Canada,0.8337449546398071,0.7421758569299552,0.4402890232509705,High,0.5924425815846545,9,2
Shinchan,Uk,0.15544790977499046,0.18479880774962743,0.11513572673261645,Low,0.6196795777493213,7,21
Doraemon,France,0.13081966070170226,0.22354694485842028,0.3026748764998316,Low,1.3479358478498649,0,5
Tom And Jerry,Saudi Arabia,0.04182885816885785,0.08941877794336811,0.11862658425135472,Low,1.3119684533411187,9,13
Mickey Mouse,Canada,0.8107717199403969,0.04769001490312966,1.0,High,20.538091885770253,1,2
Mr Bean,Uk,0.4706900210859904,0.37555886736214605,0.44752826594808637,Medium,1.1884682707994425,3,21
Motu Patlu,France,0.6795181183602637,0.28017883755588674,0.06758566654436605,High,0.24036540990014163,2,5
Shinchan,Italy,0.11564578402933046,0.17287630402384502,0.3873193525796254,Low,2.2275568528677105,7,8
Mr Bean,Italy,0.12462531566436771,0.4113263785394933,0.22547486998248964,Low,0.5468359089252236,3,8
Mickey Mouse,Uae,0.8337251693040575,0.18479880774962743,0.9537738384204543,High,5.1333689918274885,1,20
Pokemon,Brazil,0.6638538363049987,0.09538002980625931,1.0,High,10.375593388071934,6,1
Mr Bean,Japan,0.5756708994093181,0.32190760059612517,0.13689537928319528,Medium,0.4239459803066587,3,9
Shinchan,Nigeria,0.9174700144554402,0.13114754098360656,0.3651176745043226,High,2.7629547382165582,7,11
Peppa Pig,South Korea,0.8972081032332622,0.38748137108792846,0.41048218252871577,High,1.0566328608735467,5,15
Mr Bean,Germany,0.8930268327903168,0.14307004470938897,0.3793263427272028,High,2.632929999378853,3,6
Mickey Mouse,Mexico,0.6955229864979681,0.46497764530551416,0.025856595214721313,High,0.055488917709279086,1,10
Mickey Mouse,Uae,0.2729353117632565,0.32190760059612517,1.0,Low,3.096861139700283,1,20
Peppa Pig,Saudi Arabia,0.6427496480093358,0.38152011922503726,0.14560841214047215,Medium,0.38065556508626536,5,13
Motu Patlu,France,0.7490242610828507,0.29210134128166915,0.04241218641777049,High,0.14470144091566117,2,5
Doraemon,South Africa,0.21796454090650363,0.46497764530551416,0.33261313353641286,Low,0.7137963309770751,0,14
Shinchan,Saudi Arabia,0.3966544415166273,0.08345752608047691,0.45293502867767443,Medium,5.362873502191942,7,13
Shinchan,Usa,0.37057087621805623,0.28614008941877794,0.23176015128759062,Medium,0.8071326848045285,7,23
Pokemon,Nigeria,0.8081992188067559,0.39344262295081966,1.0,High,2.5352229749386974,6,11
Motu Patlu,Russia,0.3363966198913752,0.27421758569299554,0.1197274735375436,Medium,0.43502842754786486,2,12
Motu Patlu,Australia,0.4885778468487874,0.5543964232488823,0.3889664597384486,Medium,0.7003402316909527,2,0
Mr Bean,South Africa,0.996631463959332,0.29806259314456035,0.1514057128513612,High,0.5062676386885169,3,14
Paw Patrol,Australia,0.7245850010930517,0.4292101341281669,0.5337187014383385,High,1.2406000210105108,4,0
Paw Patrol,Usa,0.1262794929584089,0.39940387481371087,0.012050507653765747,Low,0.03009588171286375,4,23
Motu Patlu,Japan,0.6294457069519983,0.14307004470938897,0.5168091938070201,Medium,3.5872078394193756,2,9
Peppa Pig,Nigeria,0.2973531325173874,0.35171385991058124,0.3400373865615641,Low,0.9640601779804434,5,11
Mr Bean,Canada,0.002675722602885733,0.4828614008941878,0.023027792415594907,Low,0.047591711951064875,3,2
